text,label
"Ce restaurant est excellent, je reviendrai !",2
"Service rapide et personnel très accueillant",2
"Très bon rapport qualité-prix, je recommande",2
"Hada mzyan bzzaf, klit mazyan !",2
"Service kbir u les prix raisonnables",2
"Waaaaaw trop bien ce produit !",2
"Merci pour la livraison rapide, super service !",2
"Produit conforme à la description, très content",2
"Service catastrophique, jamais je ne reviendrai",0
"Machi mzyan, khedma khaiba bzzaf",0
"Très déçu, la qualité est médiocre",0
"Produit cassé à la livraison, scandaleux",0
"En attente depuis 3 semaines, aucune réponse",0
"C'est nul, je ne recommande pas du tout",0
"Commande perdue, service client inexistant",0
"Le produit est correct, rien d'exceptionnel",1
"Livraison dans les délais prévus",1
"Service standard, ni bon ni mauvais",1
"Commande reçue, conforme à ce qui était indiqué",1